sample	query	model	description	bitscore	evalue
GCF_000025485.1	ALVIN_RS06165	PF09559.10	Cas6 Crispr	221.1	3.9e-68
GCF_000025605.1	THAL_RS00075	PF09706.10	CRISPR-associated protein (Cas_CXXC_CXXC)	63.8	4.3e-20
GCF_000025605.1	THAL_RS00070	PF09704.10	CRISPR-associated protein (Cas_Cas5)	70.8	4.8e-22
GCF_000025605.1	THAL_RS00025	PF01881.16	CRISPR associated protein Cas6	91.7	2.1e-28
GCF_000025605.1	THAL_RS00040	PF09700.10	CRISPR-associated protein (Cas_Cmr3)	60.7	5.4e-19
GCF_000025605.1	THAL_RS00065	PF01905.16	CRISPR-associated negative auto-regulator DevR/Csa2	119.9	3.3e-37
GCF_000025605.1	THAL_RS00050	PF09701.10	CRISPR-associated protein (Cas_Cmr5)	114.5	1.2e-35
GCF_000025605.1	THAL_RS00045	PF03787.15	RAMP superfamily	107.9	2.4e-33
GCF_000025645.1	THIT_RS06765	PF03787.15	RAMP superfamily	66.1	1.5e-20
GCF_000025645.1	THIT_RS06750	PF03787.15	RAMP superfamily	74.7	3.4e-23
GCF_000025645.1	THIT_RS03510	PF09700.10	CRISPR-associated protein (Cas_Cmr3)	160.9	1.9e-49
GCF_000025645.1	THIT_RS11420	PF05107.12	CRISPR-associated protein Cas7	198.8	3.6e-61
GCF_000025645.1	THIT_RS03495	PF09701.10	CRISPR-associated protein (Cas_Cmr5)	118.4	7.6e-37
GCF_000025645.1	THIT_RS03490	PF03787.15	RAMP superfamily	100.4	4.8e-31
GCF_000025645.1	THIT_RS03485	PF09670.10	CRISPR-associated protein (Cas_Cas02710)	306.1	1e-93
GCF_000025645.1	THIT_RS11425	PF09484.10	CRISPR-associated protein TM1802 (cas_TM1802)	566.8	2.3e-172
GCF_000025645.1	THIT_RS11380	PF01867.16	CRISPR associated protein Cas1	316.0	6.3e-97
GCF_000025645.1	THIT_RS11385	PF01930.17	Domain of unknown function DUF83	176.3	1.6e-54
GCF_000025645.1	THIT_RS03505	PF12469.8	CRISPR-associated protein	108.8	5.4e-34
GCF_000025645.1	THIT_RS11375	PF09827.9	CRISPR associated protein Cas2	81.0	1.8e-25
GCF_000025705.1	SLIT_RS08440	PF09559.10	Cas6 Crispr	195.7	2.5e-60
GCF_000025725.1	DACET_RS02865	PF13280.6	WYL domain	102.7	7.7e-32
GCF_000025725.1	DACET_RS03085	PF13280.6	WYL domain	73.9	5.2e-23
GCF_000025725.1	DACET_RS12945	PF13280.6	WYL domain	69.1	1.5e-21
GCF_000025725.1	DACET_RS13030	PF13280.6	WYL domain	64.5	4.2e-20
GCF_000025725.1	DACET_RS13355	PF13280.6	WYL domain	114.4	2e-35
GCF_000025805.1	BMD_RS15760	PF13280.6	WYL domain	83.0	8.4e-26
GCF_000025825.1	BMQ_RS15670	PF13280.6	WYL domain	83.6	5.7e-26
GCF_000025885.1	AMICO_RS04715	PF13280.6	WYL domain	114.9	1.3e-35
GCF_000025885.1	AMICO_RS00610	PF09559.10	Cas6 Crispr	242.5	1.1e-74
GCF_000025885.1	AMICO_RS00585	PF01930.17	Domain of unknown function DUF83	101.2	2.1e-31
GCF_000025885.1	AMICO_RS00585	PF01867.16	CRISPR associated protein Cas1	264.3	3.7e-81
GCF_000025885.1	AMICO_RS00580	PF09827.9	CRISPR associated protein Cas2	67.9	2.2e-21
GCF_000025925.1	PRU_RS14420	PF13280.6	WYL domain	121.4	1.4e-37
GCF_000025925.1	PRU_RS07725	PF13280.6	WYL domain	119.4	5.7e-37
GCF_000025925.1	PRU_RS02515	PF13280.6	WYL domain	116.4	4.6e-36
GCF_000025925.1	PRU_RS03925	PF13280.6	WYL domain	110.9	2.4e-34
GCF_000025925.1	PRU_RS04765	PF13280.6	WYL domain	77.5	4.2e-24
GCF_000025925.1	PRU_RS06840	PF09827.9	CRISPR associated protein Cas2	63.8	4.1e-20
GCF_000025945.1	DP_RS00935	PF09609.10	CRISPR-associated protein, GSU0054 family (Cas_GSU0054)	589.5	2.2e-179
GCF_000025945.1	DP_RS00945	PF09617.10	CRISPR-associated protein GSU0053 (Cas_GSU0053)	141.1	1.1e-43
GCF_000025965.1	EB_RS09070	PF01930.17	Domain of unknown function DUF83	103.8	3.4e-32
GCF_000025965.1	EB_RS09085	PF05107.12	CRISPR-associated protein Cas7	245.9	1.5e-75
GCF_000025965.1	EB_RS09095	PF09704.10	CRISPR-associated protein (Cas_Cas5)	175.2	5.6e-54
GCF_000025965.1	EB_RS09065	PF01867.16	CRISPR associated protein Cas1	329.0	7.1e-101
GCF_000025965.1	EB_RS09060	PF09827.9	CRISPR associated protein Cas2	70.8	2.8e-22
GCF_000025965.1	EB_RS09090	PF09709.10	CRISPR-associated protein (Cas_Csd1)	500.3	2.4e-152
GCF_000025985.1	BF9343_RS12280	PF09827.9	CRISPR associated protein Cas2	62.9	8e-20
GCF_000025985.1	BF9343_RS16280	PF13280.6	WYL domain	124.8	1.2e-38
GCF_000025985.1	BF9343_RS19155	PF09827.9	CRISPR associated protein Cas2	67.4	3.2e-21
GCF_000025985.1	BF9343_RS19160	PF01867.16	CRISPR associated protein Cas1	96.5	4.9e-30
GCF_000026185.1	ETA_RS05295	PF09611.10	CRISPR-associated protein (Cas_Csy1)	434.5	1.2e-132
GCF_000026185.1	ETA_RS05300	PF09614.10	CRISPR-associated protein (Cas_Csy2)	347.5	2.1e-106
GCF_000026185.1	ETA_RS05305	PF09615.10	CRISPR-associated protein (Cas_Csy3)	485.6	2.7e-148
GCF_000026185.1	ETA_RS05310	PF09618.10	CRISPR-associated protein (Cas_Csy4)	192.1	3.1e-59
GCF_000026225.1	EFER_RS01745	PF09707.10	CRISPR-associated protein (Cas_Cas2CT1978)	123.0	1.3e-38
GCF_000026225.1	EFER_RS01725	PF09344.10	CT1975-like protein	328.7	2.1e-100
GCF_000026225.1	EFER_RS01735	PF08798.11	CRISPR associated protein	142.4	7.6e-44
GCF_000026225.1	EFER_RS01730	PF09704.10	CRISPR-associated protein (Cas_Cas5)	138.4	1e-42
GCF_000026225.1	EFER_RS01715	PF09481.10	CRISPR-associated protein Cse1 (CRISPR_cse1)	233.6	1.7e-71
GCF_000026445.2	MULP_RS12825	PF13280.6	WYL domain	99.7	6.3e-31
GCF_000026445.2	MULP_RS12830	PF13280.6	WYL domain	111.9	1.1e-34
GCF_000026485.1	LCABL_RS13055	PF13280.6	WYL domain	62.7	1.4e-19
GCF_000026485.1	LCABL_RS11590	PF16595.5	PAM-interacting domain of CRISPR-associated endonuclease Cas9	123.1	6.3e-38
GCF_000026485.1	LCABL_RS11590	PF16592.5	REC lobe of CRISPR-associated endonuclease Cas9	439.6	5.7e-134
GCF_000026485.1	LCABL_RS11580	PF09827.9	CRISPR associated protein Cas2	60.7	4e-19
GCF_000026485.1	LCABL_RS11585	PF01867.16	CRISPR associated protein Cas1	87.0	3.9e-27
GCF_000026525.1	LC705_RS08300	PF13280.6	WYL domain	77.8	3.4e-24
GCF_000026585.1	SEQ_RS06595	PF09659.10	CRISPR-associated protein (Cas_Csm6)	83.1	5.7e-26
GCF_000026685.1	MLBR_RS06585	PF13280.6	WYL domain	89.8	7.2e-28
GCF_000026685.1	MLBR_RS06590	PF13280.6	WYL domain	92.1	1.4e-28
GCF_000026985.1	EPYR_RS04185	PF09707.10	CRISPR-associated protein (Cas_Cas2CT1978)	126.6	9.7e-40
GCF_000026985.1	EPYR_RS04175	PF08798.11	CRISPR associated protein	145.2	1.1e-44
GCF_000026985.1	EPYR_RS04170	PF09704.10	CRISPR-associated protein (Cas_Cas5)	142.6	5.2e-44
GCF_000026985.1	EPYR_RS04155	PF09481.10	CRISPR-associated protein Cse1 (CRISPR_cse1)	232.0	4.8e-71
GCF_000026985.1	EPYR_RS04165	PF09344.10	CT1975-like protein	323.8	6e-99
GCF_000026985.1	EPYR_RS04265	PF09615.10	CRISPR-associated protein (Cas_Csy3)	482.7	1.9e-147
GCF_000026985.1	EPYR_RS04260	PF09614.10	CRISPR-associated protein (Cas_Csy2)	339.7	4.9e-104
GCF_000026985.1	EPYR_RS04270	PF09618.10	CRISPR-associated protein (Cas_Csy4)	197.7	6.2e-61
GCF_000026985.1	EPYR_RS04255	PF09611.10	CRISPR-associated protein (Cas_Csy1)	439.1	4.5e-134
GCF_000027065.2	CTU_RS05095	PF09344.10	CT1975-like protein	306.9	8.4e-94
GCF_000027065.2	CTU_RS05090	PF09485.10	CRISPR-associated protein Cse2 (CRISPR_cse2)	73.8	6.8e-23
GCF_000027065.2	CTU_RS05115	PF09707.10	CRISPR-associated protein (Cas_Cas2CT1978)	125.0	3.2e-39
GCF_000027065.2	CTU_RS05105	PF08798.11	CRISPR associated protein	178.4	7.8e-55
GCF_000027065.2	CTU_RS05085	PF09481.10	CRISPR-associated protein Cse1 (CRISPR_cse1)	348.1	3e-106
GCF_000027065.2	CTU_RS05100	PF09704.10	CRISPR-associated protein (Cas_Cas5)	129.0	7.6e-40
GCF_000027085.1	ROD_RS14985	PF09481.10	CRISPR-associated protein Cse1 (CRISPR_cse1)	335.5	1.9e-102
GCF_000027085.1	ROD_RS02305	PF13280.6	WYL domain	69.0	1.7e-21
GCF_000027085.1	ROD_RS14990	PF09485.10	CRISPR-associated protein Cse2 (CRISPR_cse2)	78.8	1.8e-24
GCF_000027085.1	ROD_RS15000	PF09704.10	CRISPR-associated protein (Cas_Cas5)	101.8	1.6e-31
GCF_000027085.1	ROD_RS15015	PF09707.10	CRISPR-associated protein (Cas_Cas2CT1978)	124.9	3.4e-39
GCF_000027085.1	ROD_RS14995	PF09344.10	CT1975-like protein	330.1	7.7e-101
GCF_000027085.1	ROD_RS15005	PF08798.11	CRISPR associated protein	172.2	6.1e-53
GCF_000027145.1	LSE_RS01685	PF13280.6	WYL domain	81.2	3e-25
GCF_000027145.1	LSE_RS02115	PF01881.16	CRISPR associated protein Cas6	93.9	4.4e-29
GCF_000027145.1	LSE_RS02140	PF01930.17	Domain of unknown function DUF83	178.9	2.7e-55
GCF_000027145.1	LSE_RS02125	PF01905.16	CRISPR-associated negative auto-regulator DevR/Csa2	118.0	1.2e-36
GCF_000027145.1	LSE_RS02145	PF01867.16	CRISPR associated protein Cas1	304.2	2.5e-93
GCF_000027145.1	LSE_RS02150	PF09827.9	CRISPR associated protein Cas2	70.9	2.6e-22
GCF_000027145.1	LSE_RS11900	PF13280.6	WYL domain	82.3	1.4e-25
GCF_000027165.1	smi_1094	PF13280.6	WYL domain	89.6	8e-28
GCF_000027185.1	GALLO_RS05425	PF13280.6	WYL domain	80.2	6e-25
GCF_000027185.1	GALLO_RS07510	PF01867.16	CRISPR associated protein Cas1	87.7	2.5e-27
GCF_000027185.1	GALLO_RS07505	PF09827.9	CRISPR associated protein Cas2	65.4	1.4e-20
GCF_000027185.1	GALLO_RS07515	PF16592.5	REC lobe of CRISPR-associated endonuclease Cas9	688.3	2.6e-209
GCF_000027185.1	GALLO_RS07500	PF09711.10	CRISPR-associated protein (Cas_Csn2)	230.6	3.3e-71
GCF_000027185.1	GALLO_RS04995	PF09659.10	CRISPR-associated protein (Cas_Csm6)	89.4	6.5e-28
GCF_000027185.1	GALLO_RS07465	PF16813.5	CRISPR-associated protein Csn2 subfamily St	240.1	1.1e-73
GCF_000027185.1	GALLO_RS07480	PF18070.1	CRISPR-Cas9 PI domain	68.9	1.6e-21
GCF_000027185.1	GALLO_RS07515	PF16595.5	PAM-interacting domain of CRISPR-associated endonuclease Cas9	153.0	4.5e-47
GCF_000027185.1	GALLO_RS07475	PF01867.16	CRISPR associated protein Cas1	108.9	8.2e-34
GCF_000027185.1	GALLO_RS07480	PF18061.1	CRISPR-Cas9 WED domain	153.0	1.7e-47
GCF_000027205.1	EAM_RS03735	PF09344.10	CT1975-like protein	321.9	2.3e-98
GCF_000027205.1	EAM_RS03740	PF09704.10	CRISPR-associated protein (Cas_Cas5)	142.0	8e-44
GCF_000027205.1	EAM_RS03725	PF09481.10	CRISPR-associated protein Cse1 (CRISPR_cse1)	228.7	4.9e-70
GCF_000027205.1	EAM_RS03745	PF08798.11	CRISPR associated protein	146.2	5.2e-45
GCF_000027205.1	EAM_RS03755	PF09707.10	CRISPR-associated protein (Cas_Cas2CT1978)	126.7	9.1e-40
GCF_000027225.1	XBJ1_RS16015	PF08798.11	CRISPR associated protein	163.7	2.4e-50
GCF_000027225.1	XBJ1_RS16020	PF01867.16	CRISPR associated protein Cas1	64.8	2.3e-20
GCF_000027225.1	XBJ1_RS16025	PF09707.10	CRISPR-associated protein (Cas_Cas2CT1978)	124.6	4.2e-39
GCF_000027225.1	XBJ1_RS16000	PF09485.10	CRISPR-associated protein Cse2 (CRISPR_cse2)	75.2	2.5e-23
GCF_000027225.1	XBJ1_RS16010	PF09704.10	CRISPR-associated protein (Cas_Cas5)	149.7	3.5e-46
GCF_000027225.1	XBJ1_RS15995	PF09481.10	CRISPR-associated protein Cse1 (CRISPR_cse1)	318.8	2.4e-97
GCF_000027225.1	XBJ1_RS16005	PF09344.10	CT1975-like protein	341.9	1.9e-104
GCF_000027265.1	EPC_RS04485	PF09611.10	CRISPR-associated protein (Cas_Csy1)	439.1	4.5e-134
GCF_000027265.1	EPC_RS04415	PF09707.10	CRISPR-associated protein (Cas_Cas2CT1978)	126.6	9.7e-40
GCF_000027265.1	EPC_RS04405	PF08798.11	CRISPR associated protein	145.2	1.1e-44
GCF_000027265.1	EPC_RS04400	PF09704.10	CRISPR-associated protein (Cas_Cas5)	142.6	5.2e-44
GCF_000027265.1	EPC_RS04395	PF09344.10	CT1975-like protein	323.8	6e-99
GCF_000027265.1	EPC_RS04385	PF09481.10	CRISPR-associated protein Cse1 (CRISPR_cse1)	232.0	4.8e-71
GCF_000027265.1	EPC_RS04495	PF09615.10	CRISPR-associated protein (Cas_Csy3)	482.7	1.9e-147
GCF_000027265.1	EPC_RS04490	PF09614.10	CRISPR-associated protein (Cas_Csy2)	339.7	4.9e-104
GCF_000027265.1	EPC_RS04500	PF09618.10	CRISPR-associated protein (Cas_Csy4)	197.7	6.2e-61
GCF_000039765.1	VV1_RS18075	PF13280.6	WYL domain	69.6	1.1e-21
GCF_000039765.1	VV1_RS22770	PF13280.6	WYL domain	67.9	3.7e-21
GCF_000046845.1	ACIAD_RS11345	PF09618.10	CRISPR-associated protein (Cas_Csy4)	119.5	6e-37
GCF_000046845.1	ACIAD_RS11340	PF09615.10	CRISPR-associated protein (Cas_Csy3)	334.3	2.8e-102
GCF_000046845.1	ACIAD_RS11335	PF09614.10	CRISPR-associated protein (Cas_Csy2)	75.3	1.8e-23
GCF_000046845.1	ACIAD_RS11155	PF13280.6	WYL domain	86.6	6.8e-27
GCF_000055785.1	CSAL_RS01150	PF09485.10	CRISPR-associated protein Cse2 (CRISPR_cse2)	71.0	4.7e-22
GCF_000055785.1	CSAL_RS01155	PF09344.10	CT1975-like protein	359.6	8.3e-110
GCF_000055785.1	CSAL_RS01165	PF08798.11	CRISPR associated protein	185.2	6.5e-57
GCF_000055785.1	CSAL_RS01175	PF09707.10	CRISPR-associated protein (Cas_Cas2CT1978)	119.4	1.7e-37
GCF_000055785.1	CSAL_RS13010	PF13280.6	WYL domain	108.1	1.6e-33
GCF_000055785.1	CSAL_RS01145	PF09481.10	CRISPR-associated protein Cse1 (CRISPR_cse1)	347.9	3.5e-106
GCF_000055785.1	CSAL_RS01160	PF09704.10	CRISPR-associated protein (Cas_Cas5)	149.9	3.1e-46
GCF_000058485.1	FRAAL_RS02010	PF09704.10	CRISPR-associated protein (Cas_Cas5)	188.7	4.1e-58
GCF_000058485.1	FRAAL_RS02000	PF09485.10	CRISPR-associated protein Cse2 (CRISPR_cse2)	115.6	8.1e-36
GCF_000058485.1	FRAAL_RS10060	PF13280.6	WYL domain	153.4	2e-47
GCF_000058485.1	FRAAL_RS02940	PF13280.6	WYL domain	142.2	5.4e-44
GCF_000058485.1	FRAAL_RS02345	PF13280.6	WYL domain	62.0	2.4e-19
GCF_000058485.1	FRAAL_RS02025	PF09707.10	CRISPR-associated protein (Cas_Cas2CT1978)	110.2	1.3e-34
GCF_000058485.1	FRAAL_RS02015	PF08798.11	CRISPR associated protein	220.9	7.9e-68
GCF_000058485.1	FRAAL_RS02005	PF09344.10	CT1975-like protein	405.9	7e-124
GCF_000058485.1	FRAAL_RS01995	PF09481.10	CRISPR-associated protein Cse1 (CRISPR_cse1)	342.7	1.3e-104
GCF_000058485.1	FRAAL_RS12570	PF13280.6	WYL domain	129.7	3.7e-40
GCF_000058485.1	FRAAL_RS17070	PF13280.6	WYL domain	109.8	4.9e-34
GCF_000058485.1	FRAAL_RS24210	PF13280.6	WYL domain	85.6	1.3e-26
GCF_000058485.1	FRAAL_RS24310	PF01930.17	Domain of unknown function DUF83	152.9	2.7e-47
GCF_000058485.1	FRAAL_RS01990	PF18395.1	Cas3 C-terminal domain	84.1	2.8e-26
GCF_000058485.1	FRAAL_RS24315	PF01867.16	CRISPR associated protein Cas1	223.5	1e-68
GCF_000058485.1	FRAAL_RS12565	PF13280.6	WYL domain	83.3	6.8e-26
GCF_000060285.1	LWE_RS01735	PF13280.6	WYL domain	93.9	3.9e-29
GCF_000060285.1	LWE_RS12265	PF13280.6	WYL domain	81.4	2.6e-25
GCF_000060345.1	GFO_RS12120	PF13280.6	WYL domain	126.3	4.2e-39
GCF_000060345.1	GFO_RS07465	PF13280.6	WYL domain	109.8	5e-34
GCF_000062885.1	SACE_RS33665	PF13280.6	WYL domain	124.7	1.3e-38
GCF_000062885.1	SACE_RS34975	PF13280.6	WYL domain	90.8	3.5e-28
GCF_000062885.1	SACE_RS24640	PF09827.9	CRISPR associated protein Cas2	64.0	3.5e-20
GCF_000062885.1	SACE_RS08455	PF13280.6	WYL domain	91.4	2.2e-28
GCF_000062885.1	SACE_RS24670	PF03787.15	RAMP superfamily	89.8	8.6e-28
GCF_000062885.1	SACE_RS24635	PF01867.16	CRISPR associated protein Cas1	265.9	1.1e-81
GCF_000062885.1	SACE_RS16685	PF13280.6	WYL domain	113.6	3.3e-35
GCF_000062885.1	SACE_RS16310	PF13280.6	WYL domain	116.4	4.7e-36
GCF_000062885.1	SACE_RS11050	PF13280.6	WYL domain	115.6	8.5e-36
GCF_000062885.1	SACE_RS11045	PF13280.6	WYL domain	113.4	3.9e-35
GCF_000062885.1	SACE_RS35405	PF13280.6	WYL domain	101.8	1.5e-31
GCF_000062885.1	SACE_RS24635	PF01930.17	Domain of unknown function DUF83	69.3	1.3e-21
GCF_000062885.1	SACE_RS27980	PF13280.6	WYL domain	138.9	5.8e-43
GCF_000067045.1	GDI_RS00280	PF09709.10	CRISPR-associated protein (Cas_Csd1)	510.5	2.1e-155
GCF_000067045.1	GDI_RS00275	PF05107.12	CRISPR-associated protein Cas7	355.1	7.3e-109
GCF_000067045.1	GDI_RS10135	PF01867.16	CRISPR associated protein Cas1	101.8	1.2e-31
GCF_000067045.1	GDI_RS10140	PF09827.9	CRISPR associated protein Cas2	73.2	4.8e-23
GCF_000067045.1	GDI_RS10535	PF09481.10	CRISPR-associated protein Cse1 (CRISPR_cse1)	345.1	2.5e-105
GCF_000067045.1	GDI_RS10525	PF09344.10	CT1975-like protein	325.0	2.6e-99
GCF_000067045.1	GDI_RS10520	PF09704.10	CRISPR-associated protein (Cas_Cas5)	99.1	1.1e-30
GCF_000067045.1	GDI_RS10515	PF08798.11	CRISPR associated protein	149.4	5.4e-46
GCF_000067045.1	GDI_RS10505	PF09707.10	CRISPR-associated protein (Cas_Cas2CT1978)	119.6	1.5e-37
GCF_000067045.1	GDI_RS00285	PF09704.10	CRISPR-associated protein (Cas_Cas5)	140.3	2.6e-43
GCF_000067045.1	GDI_RS00260	PF09827.9	CRISPR associated protein Cas2	79.3	6.2e-25
GCF_000067045.1	GDI_RS00265	PF01867.16	CRISPR associated protein Cas1	341.1	1.5e-104
GCF_000067045.1	GDI_RS00270	PF01930.17	Domain of unknown function DUF83	106.3	5.8e-33
GCF_000067165.1	SCE_RS26795	PF13280.6	WYL domain	107.8	2.1e-33
GCF_000067165.1	SCE_RS12535	PF13280.6	WYL domain	119.8	4.3e-37
GCF_000067165.1	SCE_RS02930	PF08798.11	CRISPR associated protein	195.4	4.7e-60
GCF_000067165.1	SCE_RS01400	PF09827.9	CRISPR associated protein Cas2	61.2	2.7e-19
GCF_000067165.1	SCE_RS18770	PF13280.6	WYL domain	119.8	4.1e-37
GCF_000067165.1	SCE_RS01395	PF01867.16	CRISPR associated protein Cas1	240.7	5.6e-74
GCF_000067165.1	SCE_RS01390	PF09617.10	CRISPR-associated protein GSU0053 (Cas_GSU0053)	188.4	3.2e-58
GCF_000067165.1	SCE_RS46970	PF01867.16	CRISPR associated protein Cas1	259.3	1.2e-79
GCF_000067165.1	SCE_RS46970	PF01930.17	Domain of unknown function DUF83	80.8	4e-25
GCF_000067165.1	SCE_RS29180	PF12469.8	CRISPR-associated protein	104.2	1.5e-32
GCF_000067165.1	SCE_RS29185	PF09700.10	CRISPR-associated protein (Cas_Cmr3)	87.8	3.1e-27
GCF_000067165.1	SCE_RS01385	PF09609.10	CRISPR-associated protein, GSU0054 family (Cas_GSU0054)	73.3	5.6e-23
GCF_000067165.1	SCE_RS46945	PF09559.10	Cas6 Crispr	198.0	4.8e-61
GCF_000067165.1	SCE_RS29190	PF03787.15	RAMP superfamily	67.6	5.2e-21
GCF_000069225.1	CMS_RS04040	PF13280.6	WYL domain	86.2	9e-27
GCF_000069225.1	CMS_RS11550	PF13280.6	WYL domain	65.0	2.8e-20
GCF_000069225.1	CMS_RS04290	PF13280.6	WYL domain	87.4	3.8e-27
GCF_000069225.1	CMS_RS08335	PF13280.6	WYL domain	102.2	1.1e-31
GCF_000069225.1	CMS_RS08330	PF13280.6	WYL domain	87.9	2.7e-27
GCF_000069945.1	CU_RS09850	PF09704.10	CRISPR-associated protein (Cas_Cas5)	158.0	1e-48
GCF_000069945.1	CU_RS09845	PF08798.11	CRISPR associated protein	210.4	1.3e-64
GCF_000069945.1	CU_RS09865	PF09481.10	CRISPR-associated protein Cse1 (CRISPR_cse1)	375.7	1.3e-114
GCF_000069945.1	CU_RS09860	PF09485.10	CRISPR-associated protein Cse2 (CRISPR_cse2)	113.2	4.5e-35
GCF_000069945.1	CU_RS09835	PF09707.10	CRISPR-associated protein (Cas_Cas2CT1978)	108.4	4.6e-34
GCF_000069945.1	CU_RS05255	PF13280.6	WYL domain	126.4	4.1e-39
GCF_000069945.1	CU_RS09870	PF18395.1	Cas3 C-terminal domain	102.8	4.5e-32
GCF_000069945.1	CU_RS09855	PF09344.10	CT1975-like protein	432.1	7.6e-132
GCF_000070605.1	XCCB100_RS08865	PF13280.6	WYL domain	85.5	1.5e-26
GCF_000070605.1	XCCB100_RS03290	PF13280.6	WYL domain	132.7	4.5e-41
GCF_000087965.2	VB87_RS14570	PF01867.16	CRISPR associated protein Cas1	348.7	7e-107
GCF_000087965.2	VB87_RS13040	PF13280.6	WYL domain	139.4	3.9e-43
GCF_000087965.2	VB87_RS14565	PF01930.17	Domain of unknown function DUF83	119.1	6.6e-37
GCF_000087965.2	VB87_RS14560	PF05107.12	CRISPR-associated protein Cas7	368.0	8.2e-113
GCF_000087965.2	VB87_RS14555	PF09709.10	CRISPR-associated protein (Cas_Csd1)	555.0	6.5e-169
GCF_000087965.2	VB87_RS15340	PF09611.10	CRISPR-associated protein (Cas_Csy1)	468.3	6e-143
GCF_000087965.2	VB87_RS14550	PF09704.10	CRISPR-associated protein (Cas_Cas5)	150.3	2.4e-46
GCF_000087965.2	VB87_RS15350	PF09615.10	CRISPR-associated protein (Cas_Csy3)	499.9	1.2e-152
GCF_000087965.2	VB87_RS15355	PF09618.10	CRISPR-associated protein (Cas_Csy4)	207.3	7.1e-64
GCF_000087965.2	VB87_RS14575	PF09827.9	CRISPR associated protein Cas2	83.5	2.9e-26
GCF_000087965.2	VB87_RS15345	PF09614.10	CRISPR-associated protein (Cas_Csy2)	364.4	1.5e-111
GCF_000091305.1	SCAB_RS35195	PF13280.6	WYL domain	107.6	2.3e-33
GCF_000091305.1	SCAB_RS35190	PF13280.6	WYL domain	109.6	5.6e-34
GCF_000091305.1	SCAB_RS34500	PF13280.6	WYL domain	104.9	1.6e-32
GCF_000091305.1	SCAB_RS32005	PF13280.6	WYL domain	123.8	2.4e-38
GCF_000091305.1	SCAB_RS25240	PF13280.6	WYL domain	100.8	3e-31
GCF_000091305.1	SCAB_RS01565	PF13280.6	WYL domain	80.2	6.1e-25
GCF_000091325.1	SVI_RS14300	PF13280.6	WYL domain	66.7	8.5e-21
GCF_000091465.1	VS_RS06445	PF09623.10	CRISPR-associated protein NE0113 (Cas_NE0113)	170.9	1e-52
GCF_000091545.1	TTHB188	PF09481.10	CRISPR-associated protein Cse1 (CRISPR_cse1)	376.8	5.9e-115
GCF_000091545.1	TTHB189	PF09485.10	CRISPR-associated protein Cse2 (CRISPR_cse2)	105.4	1.2e-32
GCF_000091545.1	TTHB145	PF01867.16	CRISPR associated protein Cas1	238.8	2.1e-73
GCF_000091545.1	TTHA0078	PF10040.9	CRISPR-associated endoribonuclease Cas6	66.9	6.6e-21
GCF_000091545.1	TTHB144	PF09670.10	CRISPR-associated protein (Cas_Cas02710)	409.1	5e-125
GCF_000091545.1	TTHB163	PF03787.15	RAMP superfamily	99.1	1.2e-30
GCF_000091545.1	TTHB148	PF03750.13	Csm2 Type III-A	74.0	5.8e-23
GCF_000091545.1	TTHB164	PF09701.10	CRISPR-associated protein (Cas_Cmr5)	102.5	6.3e-32
GCF_000091545.1	TTHB186	PF13280.6	WYL domain	131.4	1.1e-40
GCF_000091545.1	TTHB231	PF10040.9	CRISPR-associated endoribonuclease Cas6	60.2	7.9e-19
GCF_000091545.1	TTHB226	PF13280.6	WYL domain	137.1	2e-42
GCF_000091545.1	TTHB224	PF01867.16	CRISPR associated protein Cas1	293.7	3.9e-90
GCF_000091545.1	TTHB225	PF01930.17	Domain of unknown function DUF83	97.9	2.1e-30
GCF_000091545.1	TTHB194	PF09707.10	CRISPR-associated protein (Cas_Cas2CT1978)	101.1	8.7e-32
GCF_000091545.1	TTHB192	PF08798.11	CRISPR associated protein	192.1	5.1e-59
GCF_000091545.1	TTHB191	PF09704.10	CRISPR-associated protein (Cas_Cas5)	189.7	2.1e-58
GCF_000091545.1	TTHB190	PF09344.10	CT1975-like protein	400.7	2.6e-122
GCF_000091545.1	TTHB152	PF09670.10	CRISPR-associated protein (Cas_Cas02710)	372.8	5.5e-114
GCF_000091545.1	TTHB160	PF12469.8	CRISPR-associated protein	67.4	3.9e-21
GCF_000091545.1	TTHB161	PF09700.10	CRISPR-associated protein (Cas_Cmr3)	315.7	1.8e-96
GCF_000091545.1	TTHB223	PF09827.9	CRISPR associated protein Cas2	62.0	1.5e-19
GCF_000091565.1	EAMY_RS30365	PF08798.11	CRISPR associated protein	146.2	5.2e-45
GCF_000091565.1	EAMY_RS30355	PF09707.10	CRISPR-associated protein (Cas_Cas2CT1978)	126.7	9.1e-40
GCF_000091565.1	EAMY_RS30370	PF09704.10	CRISPR-associated protein (Cas_Cas5)	142.0	8e-44
GCF_000091565.1	EAMY_RS30375	PF09344.10	CT1975-like protein	321.9	2.3e-98
GCF_000091565.1	EAMY_RS30385	PF09481.10	CRISPR-associated protein Cse1 (CRISPR_cse1)	228.7	4.9e-70
GCF_000091765.1	LCRIS_RS06060	PF09707.10	CRISPR-associated protein (Cas_Cas2CT1978)	101.6	6.4e-32
GCF_000091765.1	LCRIS_RS06070	PF08798.11	CRISPR associated protein	195.9	3.4e-60
GCF_000091765.1	LCRIS_RS06095	PF18395.1	Cas3 C-terminal domain	86.3	6.1e-27
GCF_000091765.1	LCRIS_RS06080	PF09344.10	CT1975-like protein	399.1	7.7e-122
